TCID;ID;Title;Description;Author;Importance;Pos/Neg;Automation;TCMS Case ID;#;Step;Expected Result;Type;_polarion
1;RHEL-111042;[detach-device] detach-device with specified mac or pci or both (negative) -- bug 872028 1343919;Detach a interface will macth the mac address or pci address or both. If specify both the mac and pci address in a detach, the interface will be detached successfully only when the two both can macth. If only specify mac, the detach will be successfully when there is only one interface match the mac. A single pci address can also be a match.;Yalan Zhang (yalzhang);High;Negative;Manual Only;;1;check the error message when detach;​​;Test Case;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;2;"prepare a running domain with below interface
 # virsh dumpxml rhel7.4 | grep /interface -B7
     <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet0'/>
       <model type='rtl8139'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>
     <interface type='direct'>
       <mac address='52:54:00:44:ff:e4'/>
       <source dev='eno1' mode='vepa'/>
       <target dev='macvtap0'/>
       <model type='rtl8139'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>";​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;3;"Scenario 1: by right mac + wrong pci address(the pci for other interface) -> should failed with significative error
 # cat net4.xml 
 <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet1'/>
       <model type='rtl8139'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
 # virsh detach-device rhel7.4 net4.xml 
​​";"error: Failed to detach device from net4.xml
 error: operation failed: no device matching MAC address 52:54:00:8c:2a:67 found on 0000:00:03.0";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;4;login guest to check the interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;5;"Scenario 2: by wrong mac + right pci address  -> failed with significative error
 # cat net5.xml 
 <interface type='network'>
 <mac address='52:54:00:44:ff:e4'/>
        <source network='default' bridge='virbr0'/>
        <target dev='vnet1'/>
        <model type='rtl8139'/>
        <alias name='net1'/>
        <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
      </interface>
 # virsh detach-device rhel7.4 net5.xml 
​​";"error: Failed to detach device from net5.xml
 error: operation failed: no device matching MAC address 52:54:00:44:ff:e4 found on 0000:00:09.0";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;6;login guest to check the interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;7;"Scenario 5: no mac or pci address
 If there is only one interface 
 # virsh dumpxml rhel7.4 | grep /interface -B7
     <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet0'/>
       <model type='rtl8139'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>
 # cat net6.xml 
 <interface type='network'>
       <source network='default' bridge='virbr0'/>
     </interface>
 # virsh detach-device rhel7.4 net6.xml 
​​";Device detached successfully;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;8;login guest to check the interface do not exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;9;"If there are multiple interfaces
 # virsh dumpxml rhel7.4 | grep /interface -B12
 ......
     <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet0'/>
       <model type='rtl8139'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>
     <interface type='bridge'>
       <mac address='52:54:00:76:80:63'/>
       <source bridge='ovsbr0'/>
       <virtualport type='openvswitch'>
         <parameters interfaceid='7df5562b-2f1a-4eeb-b0b3-7d331b6b7ed3'/>
       </virtualport>
       <target dev='vnet1'/>
       <model type='rtl8139'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
 
 # cat net6.xml 
 <interface type='network'>
       <source network='default' bridge='virbr0'/>
     </interface>
 
 # virsh detach-device rhel7.4 net6.xml
​​";"error: Failed to detach device from net6.xml
 error: operation failed: multiple matching devices found";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;10;login guest to check the interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;11;"Scenario 6: no mac and wrong pci
 # cat net8.xml 
 <interface type='network'>
       <source network='default'/>
       <model type='rtl8139'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x11' function='0x0'/>
     </interface>
 
 # virsh detach-device rhel7.4 net8.xml 
​​";"error: Failed to detach device from net8.xml
 error: operation failed: no device found on 0000:00:11.0";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;12;login guest to check the interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
